order_id,order_date,store_name,pay_method,deliver_date,landed_days,planned_days,cust_id,cust_name,cust_type,city,province,region,product_id,product,category,subcategory,sales,amount,discount,profit,manager,return,satisfied,dt
CN-2014-100007,2014/1/1,定远店,信用卡,2014/1/6,5 ,6,Cust-11980,林丹,消费者,沈阳,辽宁,东北,Prod-10003020,Stockwell_订书钉_每包_12_个,办公用品,系固件,1622.6,5,0,291.34,郝杰,1,0,2014
CN-2014-100001,2014/1/1,人民店,其它,2014/1/3,2 ,0,Cust-12430,苏冬露,小型企业,包头,内蒙古,华北,Prod-10003736,Rogers_文件夹_单宽度,办公用品,收纳具,919.1,5,0,144.24,郝杰,0,0,2014
CN-2014-100002,2014/1/1,杨店店,支付宝,2014/1/3,2 ,2,Cust-12430,苏冬露,小型企业,包头,内蒙古,华北,Prod-10000501,Tenex_盘_工业,办公用品,收纳具,284.48,4,0,47.53,郝杰,0,1,2014
CN-2014-100003,2014/1/1,庐江店,微信,2014/1/3,2 ,2,Cust-12430,苏冬露,小型企业,包头,内蒙古,华北,Prod-10002358,GlobeWeis_局间信封_红色,办公用品,信封,920.976,4,0.4,-41.49,郝杰,0,0,2014
CN-2014-100004,2014/1/1,金寨店,信用卡,2014/1/3,2 ,2,Cust-13405,薛光,消费者,德州,山东,华东,Prod-10004748,Eaton_羊皮纸_优质,办公用品,纸张,95.088,2,0.4,-8.05,张怡莲,0,0,2014
CN-2014-103155,2014/1/1,众兴店,其它,2014/1/4,3 ,3,Cust-15190,谢君,消费者,永川,重庆,西南,Prod-10000649,Eldon_闹钟_黑色,家具,用具,1460.9,5,0,207.27,杨洪光,0,0,2014
CN-2014-103146,2014/1/1,金寨店,支付宝,2014/1/4,3 ,3,Cust-15655,徐关茵,公司,吉林市,吉林,东北,Prod-10003434,Rogers_锁柜_金属,办公用品,收纳具,969.92,4,0,118.42,王倩倩,0,0,2014
CN-2014-100005,2014/1/1,众兴店,信用卡,2014/1/3,2 ,2,Cust-20785,袁松,消费者,秦皇岛,河北,华北,Prod-10000416,施乐_笔记本_每包_12_个,办公用品,纸张,874.44,6,0,188.61,张怡莲,0,0,2014
CN-2014-100013,2014/1/2,海恒店,信用卡,2014/1/8,6 ,7,Cust-14620,苏江丽,公司,成都,四川,西南,Prod-10004954,Stockwell_按钉_混合尺寸,办公用品,系固件,89.04,4,0.4,-9.89,张怡莲,0,0,2014
CN-2014-100010,2014/1/2,定远店,微信,2014/1/2,0 ,1,Cust-14650,何娇,公司,广州,广东,中南,Prod-10003692,SAFCO_扶手椅_红色,家具,椅子,1274.84,2,0,215.65,张怡莲,1,1,2014
CN-2014-100008,2014/1/2,临泉店,其它,2014/1/2,0 ,1,Cust-15535,丁崆,消费者,成都,四川,西南,Prod-10004173,Bush_搁架_金属,家具,书架,5297.46,3,0,406.27,张怡莲,0,0,2014
CN-2014-100009,2014/1/2,庐江店,支付宝,2014/1/2,0 ,1,Cust-15535,丁崆,消费者,成都,四川,西南,Prod-10004812,Binney_&_Smith_铅笔刀_蓝色,办公用品,美术,727.16,7,0,72.39,杨洪光,0,0,2014
CN-2014-100014,2014/1/2,定远店,微信,2014/1/8,6 ,6,Cust-20275,韦实,消费者,北京,北京,华北,Prod-10001375,Hamilton_Beach_微波炉_红色,办公用品,器具,3932.88,4,0,138.18,张怡莲,0,0,2014
CN-2014-100016,2014/1/3,庐江店,信用卡,2014/1/5,2 ,2,Cust-10045,巩嫒,公司,上海,上海,华东,Prod-10004363,Smead_圆形标签_白色,办公用品,标签,286.72,2,0,23.17,杨洪光,0,0,2014
CN-2014-100015,2014/1/3,定远店,其它,2014/1/4,1 ,1,Cust-10105,程安,消费者,牡丹江,黑龙江,东北,Prod-10000372,Jiffy_邮寄品_银色,办公用品,信封,2058,5,0,158.64,王倩倩,0,0,2014
CN-2014-100024,2014/1/3,临泉店,其它,2014/1/10,7 ,7,Cust-12520,俞毅,消费者,江口,福建,华东,Prod-10004787,佳能_墨水_红色,技术,复印机,1047.9,5,0.4,-81.9,张怡莲,0,0,2014
CN-2014-100025,2014/1/3,定远店,其它,2014/1/10,7 ,6,Cust-12520,俞毅,消费者,江口,福建,华东,Prod-10003187,诺基亚_充电器_混合尺寸,技术,电话,338.352,4,0.4,-13.93,张怡莲,0,0,2014
CN-2014-100019,2014/1/3,金寨店,信用卡,2014/1/8,5 ,6,Cust-13510,麦虢,公司,钟祥,湖北,中南,Prod-10000647,OIC_订书钉_金属,办公用品,系固件,456.12,2,0,49.75,张怡莲,0,0,2014
CN-2014-100020,2014/1/3,燎原店,信用卡,2014/1/8,5 ,5,Cust-13510,麦虢,公司,钟祥,湖北,中南,Prod-10002305,Elite_美工刀_蓝色,办公用品,用品,591.5,5,0,68.18,杨洪光,0,0,2014
CN-2014-100021,2014/1/3,庐江店,其它,2014/1/8,5 ,6,Cust-15865,康丽,消费者,兰州,甘肃,西北,Prod-10002993,Hoover_烤面包机_白色,办公用品,器具,1607.34,3,0,166.38,王倩倩,0,1,2014
